Site1	Site2	Distance
G5R1	G5R1	0
G5R1	G5R2	0.1808
G5R1	G5R3	0.3006
G5R1	G5R4	0.2099
G5R1	G6R1	0.05549
G5R1	G6R2	0.1715
G5R1	G6R3	0.3897
G5R1	G6R4	0.2381
G5R2	G5R1	0.1808
G5R2	G5R2	0
G5R2	G5R3	0.1398
G5R2	G5R4	0.1178
G5R2	G6R1	0.1714
G5R2	G6R2	0.05538
G5R2	G6R3	0.2406
G5R2	G6R4	0.1858
G5R3	G5R1	0.3006
G5R3	G5R2	0.1398
G5R3	G5R3	0
G5R3	G5R4	0.2376
G5R3	G6R1	0.3049
G5R3	G6R2	0.129
G5R3	G6R3	0.1016
G5R3	G6R4	0.3065
G5R4	G5R1	0.2099
G5R4	G5R2	0.1178
G5R4	G5R3	0.2376
G5R4	G5R4	0
G5R4	G6R1	0.1692
G5R4	G6R2	0.1704
G5R4	G6R3	0.338
G5R4	G6R4	0.06963
G6R1	G5R1	0.05549
G6R1	G5R2	0.1714
G6R1	G5R3	0.3049
G6R1	G5R4	0.1692
G6R1	G6R1	0
G6R1	G6R2	0.1796
G6R1	G6R3	0.4006
G6R1	G6R4	0.1873
G6R2	G5R1	0.1715
G6R2	G5R2	0.05538
G6R2	G5R3	0.129
G6R2	G5R4	0.1704
G6R2	G6R1	0.1796
G6R2	G6R2	0
G6R2	G6R3	0.2212
G6R2	G6R4	0.2364
G6R3	G5R1	0.3897
G6R3	G5R2	0.2406
G6R3	G5R3	0.1016
G6R3	G5R4	0.338
G6R3	G6R1	0.4006
G6R3	G6R2	0.2212
G6R3	G6R3	0
G6R3	G6R4	0.4062
G6R4	G5R1	0.2381
G6R4	G5R2	0.1858
G6R4	G5R3	0.3065
G6R4	G5R4	0.06963
G6R4	G6R1	0.1873
G6R4	G6R2	0.2364
G6R4	G6R3	0.4062
G6R4	G6R4	0
