X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU7	OTU47	0.030734	-0.501475	0.541560	1	1	6	0	0.903000	0.525875	0.180687	0.525875	0.180687	0	0.321218	0.437863	0.321218	0.437863	0	0.513636	0.163201	0.002204	0.393473	0.004100	1	2
OTU7	OTU192	0.446303	0.263727	0.728413	1	1	5	0	0.245000	0.483192	0.225154	0.531579	0.219464	-1	0.500000	0.207031	0.678571	0.093750	-1	0.201923	0.192163	0.002540	0.230035	0.001214	1	3
OTU7	OTU23	0.437727	0.184321	0.738262	1	2	6	-1	0.352000	0.303441	0.465009	0.823230	0.022885	-1	0.457831	0.253980	0.785714	0.036238	-1	0.265327	0.308537	0.000550	0.266609	0.000556	1	4
OTU7	OTU2	0.457272	0.302535	0.600675	1	1	6	0	0.425000	0.504091	0.202740	0.794324	0.032870	-1	0.526956	0.179629	0.821429	0.023449	-1	0.305742	0.179275	0.000708	0.206845	0.000402	1	5
OTU7	OTU22	0.209563	-0.325136	0.403282	2	1	7	1	0.320000	0.443024	0.271621	0.443024	0.271621	0	0.319072	0.441104	0.736364	0.059116	1	0.246154	0.216062	0.002890	0.393473	0.000840	1	6
OTU7	OTU4	-0.136861	-0.562754	0.500907	3	2	6	1	0.738000	-0.241501	0.564483	-0.581316	0.171042	-1	-0.018072	0.966122	-0.594619	0.159090	-1	0.451837	0.354384	0.002129	0.677355	0.001841	1	7
OTU7	OTU2771	0.154239	-0.595906	0.652663	1	2	6	-1	0.497000	-0.146335	0.729514	-0.463656	0.294677	1	-0.042425	0.920548	-0.522958	0.228442	1	0.350000	0.413830	0.003082	0.665035	0.002466	1	8
OTU7	OTU14	0.299389	-0.546469	0.657563	1	2	6	-1	0.261000	0.090776	0.830728	-0.492186	0.261853	1	0.210843	0.616229	0.702731	0.078237	-1	0.212772	0.447315	0.002798	0.503444	0.001075	1	9
OTU7	OTU537	0.104084	-0.508902	0.519430	1	2	6	-1	0.892000	-0.104607	0.805287	-0.370807	0.412868	1	0.072289	0.864929	0.450469	0.310429	-1	0.512644	0.436978	0.003955	0.641940	0.003080	1	10
OTU7	OTU90	-0.292563	-0.587541	0.401429	3	2	6	1	0.607000	-0.192305	0.648218	-0.460253	0.298708	1	0.030304	0.943216	-0.366988	0.418074	1	0.400000	0.382914	0.003104	0.673970	0.003944	1	11
OTU7	OTU41	-0.318084	-0.565614	0.397710	1	2	6	-1	0.659000	-0.419040	0.301432	-0.667096	0.101638	-1	-0.319277	0.440794	-0.756787	0.048905	-1	0.417089	0.228110	0.001432	0.393473	0.000723	1	12
OTU7	OTU5	0.507930	0.310219	0.737908	2	1	7	1	0.112000	0.522071	0.184441	0.640624	0.121103	1	0.704819	0.050904	0.810844	0.026916	1	0.112752	0.165524	0.001619	0.079277	0.000446	1	13
OTU7	OTU430	0.280857	-0.380704	0.572708	1	2	6	-1	0.536000	-0.024423	0.954225	0.628944	0.130250	-1	0.222892	0.595714	0.750000	0.052181	-1	0.372222	0.489346	0.001723	0.494905	0.000763	1	14
OTU7	OTU6	0.285232	-0.370097	0.547013	3	2	6	1	0.841000	0.229259	0.584964	0.646265	0.116807	-1	0.131739	0.755833	0.607143	0.148231	-1	0.496654	0.362996	0.001578	0.586156	0.001756	1	15
OTU7	OTU15	-0.097218	-0.622900	0.573703	3	2	6	1	0.324000	-0.144281	0.733204	-0.514693	0.237209	1	0.126506	0.765320	0.522544	0.228878	-1	0.247959	0.413905	0.002647	0.591101	0.002466	1	16
OTU7	OTU995	-0.312583	-0.774864	0.468117	2	1	7	1	0.265000	-0.357430	0.384711	-0.512041	0.240054	1	-0.409639	0.313526	-0.800000	0.030749	1	0.214516	0.269298	0.002655	0.311884	0.000477	1	17
OTU7	OTU6096	-0.113545	-0.563925	0.508334	3	2	6	1	0.900000	-0.292496	0.482047	-0.531635	0.219406	-1	-0.102410	0.809320	-0.558581	0.192453	-1	0.513636	0.311493	0.002540	0.612633	0.002129	1	18
OTU7	OTU1334	-0.211400	-0.342659	0.230011	1	2	6	-1	0.886000	-0.382670	0.349463	-0.581214	0.171136	-1	-0.208624	0.620031	-0.592999	0.160522	-1	0.512644	0.253288	0.002129	0.503444	0.001841	1	19
OTU7	OTU18	0.455396	0.307995	0.632679	1	2	7	-1	0.211000	0.163388	0.699056	0.861244	0.012765	-1	0.463855	0.246973	0.954994	0.000806	-1	0.181897	0.402748	0.000370	0.263623	0.000047	1	20
OTU7	OTU842	-0.176386	-0.409098	0.286536	1	1	6	0	0.805000	-0.402531	0.322820	-0.423800	0.343365	-1	-0.257712	0.537758	-0.481812	0.273587	-1	0.486895	0.240398	0.003475	0.454107	0.002815	1	21
OTU7	OTU21	0.361490	-0.400762	0.702697	1	1	6	0	0.400000	0.429247	0.288560	0.721934	0.066967	-1	0.484857	0.223323	0.774806	0.040769	-1	0.295567	0.222700	0.001087	0.245268	0.000621	1	22
OTU7	OTU10	0.270214	-0.611567	0.725780	1	2	7	-1	0.231000	0.058037	0.891424	0.879802	0.009008	-1	-0.024096	0.954837	0.846881	0.016197	-1	0.192500	0.476334	0.000307	0.674420	0.000311	1	23
OTU7	OTU32	-0.497107	-0.880998	-0.206221	1	1	8	0	0.078000	-0.602006	0.114306	-0.602006	0.114306	0	-0.813253	0.014086	-0.813253	0.014086	0	0.088636	0.122146	0.001570	0.034029	0.000284	1	24
OTU47	OTU192	0.272373	-0.505937	0.698796	1	1	4	0	0.675000	0.320998	0.438195	0.634525	0.125837	-1	0.187882	0.655923	0.522544	0.228878	-1	0.423640	0.293528	0.001673	0.528074	0.002466	2	3
OTU47	OTU23	0.278318	-0.324497	0.634246	1	1	8	0	0.924000	0.185432	0.660203	0.367499	0.417377	1	0.351522	0.393180	0.351522	0.393180	0	0.519101	0.388354	0.003983	0.364411	0.003752	2	4
OTU47	OTU2	0.308901	-0.276564	0.583851	1	2	4	-1	0.736000	0.233185	0.578369	0.406018	0.366102	1	0.240981	0.565348	0.396412	0.378635	1	0.451837	0.361480	0.003576	0.473223	0.003641	2	5
OTU47	OTU22	-0.195671	-0.435387	0.294784	5	4	4	1	0.904000	0.294764	0.478497	-0.528230	0.222931	1	-0.135813	0.748465	-0.236364	0.609851	1	0.513636	0.311493	0.002551	0.583976	0.005524	2	6
OTU47	OTU4	-0.281485	-0.538254	0.311831	1	1	8	0	0.891000	-0.458536	0.253156	-0.458536	0.253156	0	-0.460615	0.250731	-0.460615	0.250731	0	0.512644	0.203689	0.002764	0.266139	0.002645	2	7
OTU47	OTU2771	0.281576	-0.270745	0.659363	1	2	7	-1	0.951000	0.370528	0.366228	0.370528	0.366228	0	0.341463	0.407782	0.341463	0.407782	0	0.525547	0.258916	0.003576	0.374293	0.003862	2	8
OTU47	OTU14	0.273108	-0.384317	0.617024	1	1	8	0	0.881000	0.463717	0.247133	0.463717	0.247133	0	0.442432	0.272338	0.442432	0.272338	0	0.512209	0.199992	0.002722	0.280496	0.002813	2	9
OTU47	OTU537	0.324615	-0.210088	0.611927	1	2	7	-1	0.951000	0.385448	0.345678	0.385448	0.345678	0	0.321218	0.437863	0.454545	0.305521	1	0.525547	0.252057	0.003479	0.393473	0.003045	2	10
OTU47	OTU90	0.360897	-0.370744	0.711005	1	1	8	0	0.628000	0.476128	0.233006	0.476128	0.233006	0	0.603659	0.113050	0.603659	0.113050	0	0.402766	0.194171	0.002636	0.145131	0.001427	2	11
OTU47	OTU41	-0.344627	-0.652396	0.212064	1	1	3	0	0.951000	-0.452945	0.259736	-0.452945	0.259736	0	-0.406068	0.318178	-0.406068	0.318178	0	0.525547	0.207789	0.002798	0.313233	0.003119	2	12
OTU47	OTU5	-0.177748	-0.621072	0.473183	2	3	6	-1	0.756000	0.136288	0.747606	-0.527019	0.224192	-1	0.024243	0.954562	-0.436364	0.327672	-1	0.460931	0.417764	0.002551	0.674420	0.003187	2	13
OTU47	OTU430	0.382808	-0.241098	0.656645	1	2	7	-1	0.426000	0.040059	0.924969	0.873396	0.010220	-1	0.042425	0.920548	0.684712	0.089666	-1	0.305742	0.483734	0.000321	0.665035	0.001180	2	14
OTU47	OTU6	0.300007	-0.237161	0.548767	1	1	8	0	0.920000	0.332843	0.420480	0.448758	0.312499	-1	0.421717	0.298029	0.421717	0.298029	0	0.518797	0.287157	0.003218	0.302463	0.003016	2	15
OTU47	OTU15	0.354493	-0.360325	0.721979	1	1	8	0	0.675000	0.437791	0.277995	0.437791	0.277995	0	0.575768	0.135297	0.575768	0.135297	0	0.423640	0.219041	0.002932	0.161430	0.001642	2	16
OTU47	OTU995	0.262215	-0.315387	0.573288	5	4	4	1	0.984000	0.325842	0.430914	0.351050	0.440071	-1	0.163639	0.698610	0.336364	0.460719	-1	0.534783	0.291439	0.004167	0.553066	0.004235	2	17
OTU47	OTU6096	-0.349148	-0.644256	0.185372	1	1	8	0	0.944000	-0.503262	0.203606	-0.503262	0.203606	0	-0.424250	0.294827	-0.424250	0.294827	0	0.525547	0.179275	0.002412	0.301167	0.002996	2	18
OTU47	OTU1334	-0.236337	-0.429734	0.129424	1	1	8	0	0.829000	-0.420808	0.299182	-0.420808	0.299182	0	-0.469172	0.240872	-0.469172	0.240872	0	0.493452	0.227639	0.003104	0.261518	0.002562	2	19
