date,precipitation,Air_temp_mean,air_temp_max,Air_Temp_Min,Air_Pressure,RH,AH ,Wind_Speed_Mean ,Wind_Direction_Mean ,Solar_Radiation,PAR,soil_temp_5_cm_bare_avg,soil_temp_5_cm_sod_avg,Year,,,,
30.08.17,0,18.8,26.3,11.2,984,80.3,1.65,1.73,286.7,232.78,356.78,22.2,20.3,2017,,,,
29.08.17,0,17.2,25.3,11.9,984,85.71,1.61,1.17,23.6,183.53,273.55,20.4,20,2017,,,,
28.08.17,3,17.3,23.3,13.8,985,82.74,1.59,1.38,88.6,141.25,212.71,19.9,20.2,2017,,,,
27.08.17,0,18.4,24.5,13.9,988,66.34,1.34,1.52,127,172.33,259.51,21.5,20.1,2017,,,,
26.08.17,0,15.7,25.6,6.1,992,73.31,1.19,1.04,92.7,249.48,370.5,20.3,18.9,2017,,,,
25.08.17,0,14,23.1,5.7,990,76.02,1.11,1.06,37.5,246.1,361,18.1,18.7,2017,,,,
24.08.17,0,13.1,19.9,8.1,986,85.12,1.24,0.78,17.9,112.95,166.75,16.2,19.6,2017,,,,
23.08.17,0,18.2,23,10.6,982,69.44,1.4,2.82,278.5,250.03,369.01,20.4,22,2017,,,,
22.08.17,3,21.2,24.5,15.6,980,81.84,2.04,4.1,245.2,152.02,225.99,22.7,23.4,2017,,,,
21.08.17,20,23.1,30.3,17.6,984,81.97,2.24,1.59,177.6,161.85,245.89,26.4,23.4,2017,,,,
20.08.17,0,20.5,30.8,10,984,74.69,1.65,1.29,183.8,249.78,367.45,25.2,22.1,2017,,,,
19.08.17,0,20.1,26.7,13.2,980,76.83,1.69,1.66,302.8,269.48,402.94,24.5,22.7,2017,,,,
18.08.17,1,20.3,22.5,14.9,976,81.96,1.93,3.32,255.9,105.43,154.26,21.9,23.1,2017,,,,
17.08.17,5,24.1,29,20,977,77.56,2.29,3.69,182.7,132.05,201.86,25.2,23.9,2017,,,,
16.08.17,0,23.1,31.2,15.2,983,74.88,1.97,1.71,127.5,240.08,354.76,26.3,23.2,2017,,,,
15.08.17,5,21.7,28.4,16.3,979,81.43,2,1.27,344.5,246.68,359.08,25.5,23.1,2017,,,,
14.08.17,0,21.5,28.4,15.6,980,73.24,1.76,1.84,187.4,208.25,299.48,25.6,22.4,2017,,,,
13.08.17,0,19.2,27.7,10.8,984,76.19,1.58,1.07,314.4,224.51,325.05,23.1,21.6,2017,,,,
12.08.17,0,19.3,24.8,15,983,79.85,1.71,2.88,294.2,224.62,335.97,22.7,22.4,2017,,,,
11.08.17,12,20.9,26.5,16.2,982,79.4,1.89,2.83,244.3,213.99,319.64,24.5,22.9,2017,,,,
10.08.17,0,20.3,28.6,12.6,986,69.81,1.51,1.98,154.2,256.38,380.65,26.9,22.4,2017,,,,
09.08.17,0,19.8,29,10.8,988,72.99,1.54,1.35,245.4,245.71,367.93,25.2,21.9,2017,,,,
08.08.17,0,19,27.2,9.5,987,70.13,1.43,2.09,294,293.71,439.67,24,21.5,2017,,,,
07.08.17,0,18.2,24.9,12.5,984,81.3,1.62,1.71,349.8,218.61,326.13,22.3,21.5,2017,,,,
06.08.17,2,17.6,24.3,11.8,984,85.7,1.67,1.02,197.6,124.85,185.78,20.6,21.2,2017,,,,
05.08.17,0,18.2,24.4,12.8,983,77.2,1.51,2.32,262.9,267.34,401.59,21.7,21.9,2017,,,,
04.08.17,10,16.3,19.7,13.3,978,90.09,1.66,4.55,228.2,99.95,150.5,20.1,22.3,2017,,,,
03.08.17,0,21,29.6,14.7,982,80.91,1.92,1.83,141.1,174.1,257.97,26.5,24,2017,,,,
02.08.17,0,23.2,30.3,16.3,983,71.43,1.89,2.03,244,275.76,411.94,29.2,24.5,2017,,,,
01.08.17,0,21.6,29.8,12.4,985,71.72,1.71,1.56,208.3,227.93,328.4,27.4,23.7,2017,,,,
31.07.17,0,21.3,29.9,11.7,988,68.76,1.58,1.65,287.3,289.08,423.45,28,23.7,2017,,,,
30.07.17,0,21.9,30,12.2,988,63.71,1.49,1.55,334.4,312.2,449.1,28.1,23.6,2017,,,,
29.07.17,0,19.5,27.9,11.1,986,60.29,1.27,2.73,32.6,287.01,420.04,26.2,23.1,2017,,,,
28.07.17,0,20.9,26.3,13.4,982,65.53,1.54,3.67,42.4,295.77,440.97,27.6,24.1,2017,,,,
27.07.17,0,23.7,30.4,16.8,980,77.17,2.18,2.05,60.6,263.33,389.83,29.2,24.3,2017,,,,
26.07.17,0,21.2,29.1,15,986,75.12,1.84,2.23,172.9,215.73,317,27.2,23.1,2017,,,,
25.07.17,0,19.5,28.1,10.4,989,68.44,1.38,1.34,119.1,300.15,445.71,26.9,22.8,2017,,,,
24.07.17,0,19.7,26.1,13.1,982,76.16,1.68,2.37,3.6,233.89,336.61,26,23.8,2017,,,,
23.07.17,0,23.4,29.2,19.4,976,81.91,2.28,2.24,290.5,244.29,369.72,28.8,25.3,2017,,,,
22.07.17,3,23.4,27.5,19.6,978,85.01,2.4,2.81,216.2,185.56,279.19,27,25.1,2017,,,,
21.07.17,0,23.8,31.5,16,982,79.59,2.23,1.32,349.3,261.06,370.92,29.8,24.6,2017,,,,
20.07.17,0,24.6,30.2,19.8,982,79.47,2.39,2.69,254.3,232.54,338.84,29.3,24.8,2017,,,,
19.07.17,0,24,31.3,15.9,985,78.74,2.28,1.41,249.5,263.76,390.55,29.7,24.1,2017,,,,
18.07.17,0,21.9,29.8,13.6,985,78.33,1.94,1.41,245.9,305.57,438.68,28.3,23.3,2017,,,,
17.07.17,0,20.3,28.8,14.6,984,78.32,1.74,1.68,130.9,285.22,407.89,26.1,23.2,2017,,,,
16.07.17,0,21.4,26.8,15.4,982,78.63,1.93,2.53,280.3,248,352.65,25.4,23.5,2017,,,,
15.07.17,0,19.5,26.3,12.8,986,80.65,1.74,1.82,279.7,312.72,454.7,24.5,23.3,2017,,,,
14.07.17,0,20.5,24.5,16,985,82.13,1.93,2.64,289.4,289.72,414.23,24.7,24.1,2017,,,,
13.07.17,4,23.3,26.1,19.6,982,88.86,2.49,2.89,229.6,145.68,209.41,25,24,2017,,,,
12.07.17,20,23.3,28.1,20.3,982,87.4,2.45,2.61,218.2,100.84,148,24.3,23.8,2017,,,,
11.07.17,0,24,30.2,18.5,979,83.96,2.41,1.53,142.3,208.14,303.62,26.9,23.8,2017,,,,
10.07.17,10,21.4,27.9,18.2,980,82.2,2.06,2.53,172,157.74,229.93,24.6,22.8,2017,,,,
09.07.17,0,20,27.9,10.5,983,64.11,1.39,2.39,232.9,300.66,432.88,26.7,22.4,2017,,,,
08.07.17,0,19.8,24.4,12.4,981,67.97,1.5,2.67,312.4,311.21,448.44,26.3,23.6,2017,,,,
07.07.17,9,23.3,28.5,17.6,978,75.26,2.09,2.94,243.6,291.59,424.31,27.4,24.1,2017,,,,
06.07.17,0,23.5,31.3,14.5,982,68.25,1.86,1.6,209.4,304.37,459.65,30,23.5,2017,,,,
05.07.17,0,22.4,30.6,13.1,987,64.98,1.6,1.37,117.7,314.82,457.36,27.8,23,2017,,,,
04.07.17,0,21.7,29.4,15.3,986,65.18,1.61,2.12,90.8,289.43,413.91,25.6,23,2017,,,,
03.07.17,3,21.1,27.1,16.6,985,75.45,1.78,2,54.9,296.57,421.21,25.7,22.9,2017,,,,
02.07.17,8,21,27.8,15.8,983,69.23,1.65,2.77,243.2,288.63,420,26.4,22.6,2017,,,,
01.07.17,0,22.4,26.3,18.2,979,75.93,1.96,3.06,246,301.01,434.22,26.6,23.1,2017,,,,
30.06.17,0,22.3,27.9,18.8,978,84.55,2.22,2.4,211.6,181.23,263.98,24.8,22.2,2017,,,,
29.06.17,14,22.6,28.8,17.1,977,75.8,2.02,4.13,220.9,240.63,347.63,23.9,21,2017,,,,
28.06.17,0,18.1,23.8,10.5,983,62.49,1.26,3.78,184.9,189.27,259.88,21.3,19.1,2017,,,,
27.06.17,0,15.9,21.9,9.3,985,67.14,1.13,2.73,269.7,304.39,420.7,22.4,19.7,2017,,,,
26.06.17,0,15.6,20.1,11.4,984,68.05,1.16,3.71,268.9,262.06,363.28,21.3,20.1,2017,,,,
25.06.17,1,16.8,20.4,13.2,983,64.6,1.19,3.77,260.3,286.69,405.32,22.7,20.7,2017,,,,
24.06.17,0,18.7,21.9,14.7,979,67.99,1.43,3.76,269.8,306.21,429.82,23.1,21.7,2017,,,,
23.06.17,5,22.1,24,17.8,972,78.79,2.07,3.69,255,186.91,254.66,23.9,22.4,2017,,,,
22.06.17,2,22.9,30.3,16.3,978,73.02,2.04,3.33,187.1,201.46,287.97,25.6,21.4,2017,,,,
21.06.17,0,18.2,26.4,9.4,982,72.34,1.38,1.06,246.3,287.25,402.43,22.7,20.1,2017,,,,
20.06.17,1,17.1,23.3,12.3,980,76.51,1.43,3.19,261.1,217.66,308.72,21.1,21,2017,,,,
19.06.17,0,19.4,23.4,14.7,976,70.66,1.54,3.34,255.6,273.26,385.69,22.9,22.1,2017,,,,
18.06.17,3,22.3,24.8,18.6,970,75.06,1.97,4.56,239.7,256.06,366.62,24.6,22.9,2017,,,,
17.06.17,7,23.2,30.3,19.4,972,78.23,2.18,3.03,189.5,145.13,208.28,24.8,22.2,2017,,,,
16.06.17,0,23.1,28.1,18.2,977,71.07,1.92,2.33,221.5,206.71,295.44,25.3,22.6,2017,,,,
15.06.17,0,23.4,28.5,18.3,978,77.62,2.14,2.35,228.2,273.89,399.21,27.1,23.4,2017,,,,
14.06.17,19,24.7,31.3,19.1,981,77.32,2.32,2.8,132.3,254.54,372.2,29.1,23,2017,,,,
13.06.17,0,25.9,33.3,21.5,981,68.46,2.21,2.09,209,252.06,367.32,30.6,22.3,2017,,,,
12.06.17,0,26.7,33,20.2,981,56.31,1.91,3.67,204.8,296.24,424.86,30.5,21.2,2017,,,,
11.06.17,0,26.1,31.9,20.5,981,50.68,1.67,4.6,204.4,295.18,416.49,29.7,20.3,2017,,,,
10.06.17,0,23.4,30.1,14.4,978,54.85,1.44,4.04,213.1,308.56,433.54,28.2,19.1,2017,,,,
09.06.17,0,20,27.5,14.4,976,65.75,1.47,2.44,213.5,274.28,378.03,26.3,18.1,2017,,,,
08.06.17,0,18.1,27.3,8.8,982,59.44,1.12,1.69,215.2,316.13,431.46,25.1,17.2,2017,,,,
07.06.17,0,17.5,24.8,9.6,985,58.37,1.06,3.22,33.9,325.91,439.17,23.7,17.1,2017,,,,
06.06.17,0,16.9,24.6,9.2,981,62.64,1.13,3.71,7.9,289.7,396.65,22.5,16.6,2017,,,,
05.06.17,0,17.4,22.6,12.2,976,77.35,1.48,2.9,25.7,207.34,282.28,22.5,17.3,2017,,,,
04.06.17,1,23.2,29.7,15.8,977,60.37,1.64,2.97,239.2,266.04,377.8,26.1,17.7,2017,,,,
03.06.17,1,19.3,27.5,9.5,983,59.15,1.21,1.33,264.8,208.03,284.52,23.1,16.1,2017,,,,
02.06.17,0,17.8,26.5,7.4,984,53.94,0.94,1.93,267.9,327.69,452.23,23.9,15.7,2017,,,,
01.06.17,0,16.7,23.5,8.5,984,52.05,0.88,2.48,284.3,338.97,459.8,22.6,15.6,2017,,,,
31.05.17,0,15.1,19.8,8.8,980,63.14,1.04,3.19,247.7,220.47,426.34,20.8,15.4,2017,,,,
30.05.17,0,16.3,20.6,9.9,979,58.93,1.04,2.97,242.8,143.39,369.75,20.3,15.8,2017,,,,
29.05.17,0,18.8,24.4,12.5,975,58,1.17,3.73,240.7,152.11,388.65,20.8,16.4,2017,,,,
28.05.17,0,19.1,26.2,13.5,974,74.88,1.6,2.53,174,128.54,334.22,21.7,16.5,2017,,,,
27.05.17,0,18.8,24.4,13,979,77.32,1.59,1.47,92.6,110.38,284.93,21.2,15.9,2017,,,,
26.05.17,0,15.1,21.3,10.4,977,84.2,1.39,1.9,286.5,98.02,271.67,19.3,15.1,2017,,,,
25.05.17,0,14.7,18.5,12.7,968,90.82,1.49,3.51,350.9,39.68,111.3,16.5,14.9,2017,,,,
24.05.17,8,15.2,20.4,12.5,969,86.76,1.47,3.37,51.2,185.91,258.71,18.4,15.1,2017,,,,
23.05.17,1,15.7,19.2,13.4,977,77.99,1.36,2.72,200.4,123.87,174.7,17.5,14.8,2017,,,,
22.05.17,0,14.2,21.4,9.8,981,61.34,0.95,4.54,242.2,304.42,426.65,18.7,14.6,2017,,,,
21.05.17,12,15.8,21.4,10,980,83.91,1.47,3.83,196.4,163.21,228.19,18.1,14.3,2017,,,,
20.05.17,11,11.5,15.7,7.3,986,72.19,1,4.71,86.4,139.61,200.04,14.3,13.3,2017,,,,
19.05.17,2,8.9,11,5.4,985,79.76,0.9,4.13,36.8,116.69,166.73,14.8,14.4,2017,,,,
18.05.17,3,22.8,27.4,11,975,59.14,1.59,6.4,236.1,301.8,423.01,25.2,17.1,2017,,,,
17.05.17,0,24.2,28.8,19.1,974,54.58,1.58,5.9,192.8,248.92,341.52,25.7,16.4,2017,,,,
16.05.17,0,22.6,29.8,15.8,977,51.7,1.4,4.31,181.1,292.08,399.88,25.5,15.2,2017,,,,
15.05.17,0,16.6,24.4,7.9,982,49.64,0.89,2.96,124.5,306.44,414.74,21.3,13.3,2017,,,,
14.05.17,0,17.2,23.5,11,978,53.82,0.98,2.31,325,304.78,410.53,21.5,13.3,2017,,,,
13.05.17,0,15.6,23.2,6.4,977,59.39,0.96,2.38,256.8,248.62,330.7,18.4,12.1,2017,,,,
12.05.17,0,14.4,21.4,5.4,980,56.34,0.86,2.14,39.1,305.53,401.35,18.2,11.7,2017,,,,
11.05.17,3,12.5,19.5,7.3,980,67.77,0.92,3.31,54.4,262.88,343.58,17.4,11.1,2017,,,,
10.05.17,4,14.7,22.2,8,981,52.31,0.84,2.07,125.8,225.72,308.61,17.9,10.4,2017,,,,
09.05.17,0,9.3,18.3,-0.4,981,45.8,0.47,1.23,293.3,262.15,352.9,13.8,8.5,2017,,,,
08.05.17,0,6.3,13.6,-1.2,984,42.66,0.38,2.74,305,327.34,426.97,11.4,8.4,2017,,,,
07.05.17,0,6.4,10.4,1.7,979,48.53,0.45,4.43,302.9,322.27,422.42,10.3,9.2,2017,,,,
06.05.17,0,9.2,15.5,3.5,972,62.55,0.69,4.08,321.5,295.86,390.85,12,9.2,2017,,,,
05.05.17,0,9.2,15.8,4.6,974,70.2,0.77,5.3,23.1,217.77,289.95,11.4,8.6,2017,,,,
04.05.17,7,7,9,5.6,982,81.57,0.8,3.9,68.3,48.65,73.89,8.9,8.5,2017,,,,
03.05.17,0,8.8,16.3,1.4,986,62.11,0.64,2.1,329.4,272.4,357.27,12.7,8.9,2017,,,,
02.05.17,3,6,8.4,4.1,971,85.22,0.79,5.44,253.6,76.86,107.92,8.5,8.9,2017,,,,
01.05.17,17,11.8,16.4,7.9,967,83.81,1.15,5.17,190.7,98.71,137.19,12.5,10.1,2017,,,,
30.04.17,20,7.1,12.2,4.5,979,93.86,0.94,4.59,67.3,36.14,56.87,9.1,9.2,2017,,,,
29.04.17,3,9.7,12.6,5.7,986,77.23,0.92,3.73,46.9,94.99,132.96,12.4,11,2017,,,,
28.04.17,0,10.9,16.3,4.3,979,67.94,0.87,3.54,199.9,153.04,206.44,14.5,11.3,2017,,,,
27.04.17,0,14.3,19.5,7.5,967,73.43,1.22,5.34,208.7,92.5,128.77,16.1,13,2017,,,,
26.04.17,0,19.9,27.3,14.6,968,66.5,1.5,4.7,158.7,203.82,275.33,20.9,13.4,2017,,,,
25.04.17,0,16.6,23.3,10.3,974,63.94,1.2,3.87,133.1,245.2,323.66,18.9,11.8,2017,,,,
24.04.17,0,14,22.5,4.3,981,50.38,0.67,3.08,85.9,294,368.26,16.1,10.5,2017,,,,
23.04.17,0,11.9,22,0.6,985,50.46,0.59,1.56,307.1,301.01,381.07,14.6,10,2017,,,,
22.04.17,0,8.9,16.5,2.3,987,56.97,0.59,2.82,32.1,264.11,337.43,11.8,9.4,2017,,,,
21.04.17,0,7.8,10.6,3.7,982,72.01,0.75,4.55,300.1,129.58,173.02,10.9,10.7,2017,,,,
20.04.17,11,15.1,21.4,10.5,979,87.06,1.48,4.01,119.3,105.74,148.64,16.2,12,2017,,,,
19.04.17,6,16.6,21,12.3,983,74.45,1.4,3.05,243.6,108.09,156.89,17.6,11.7,2017,,,,
18.04.17,0,14,22.2,5.8,988,56.6,0.83,4.42,128.1,252.79,324.2,16.8,10.6,2017,,,,
