out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU6665,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Cystobacteraceae,g:Anaeromyxobacter,s:myxobacterium_KC
OTU6670,k:Bacteria,p:Chloroflexi,c:Thermomicrobia,o:Sphaerobacterales,f:Sphaerobacteraceae,g:Nitrolancea,
OTU6671,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,
OTU6674,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6675,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU6676,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,,
OTU6672,k:Bacteria,p:Chloroflexi,c:TK10,,,,
OTU6673,k:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:Ktedonobacterales,f:Ktedonobacteraceae,,
OTU6678,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Sporocytophaga,
OTU6677,k:Bacteria,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,,
OTU6679,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU6680,k:Bacteria,p:SM2F11,,,,,
OTU6682,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU6681,k:Bacteria,p:SHA-109,,,,,
OTU6683,k:Bacteria,p:TM6,,,,,
OTU6687,k:Archaea,p:Woesearchaeota_[DHVEG-6],,,,,
OTU6686,k:Bacteria,,,,,,
OTU6684,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6685,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:11-24,,
OTU6689,k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Asteroleplasma,
OTU6688,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,
OTU6691,k:Bacteria,,,,,,
OTU6690,k:Bacteria,p:Verrucomicrobia,c:Verrucomicrobia_Incertae_Sedis,o:Unknown_Order,f:Unknown_Family,g:Candidatus_Methylacidiphilum,
OTU6692,k:Bacteria,,,,,,
OTU6693,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Gemmata,
OTU6694,k:Bacteria,p:Parcubacteria,,,,,
OTU6697,k:Bacteria,p:Gracilibacteria,,,,,
OTU6695,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,,,,
OTU6696,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales,,,
OTU6699,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:mle1-27,,
OTU6698,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU6700,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,,,,
OTU6704,k:Bacteria,p:Parcubacteria,,,,,
OTU6703,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Peredibacter,
OTU6701,k:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:FCPU453,,,
OTU6702,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,,
OTU6705,k:Bacteria,p:WCHB1-60,,,,,
OTU6706,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,g:Chlorella_sorokiniana,
OTU6709,k:Bacteria,p:Parcubacteria,,,,,
OTU6708,k:Bacteria,p:Candidate_division_SR1,,,,,
OTU6711,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Thalassospira,
OTU6710,k:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IIb,,,
OTU6712,k:Bacteria,,,,,,
OTU6713,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Nannocystaceae,g:Nannocystis,
OTU6714,k:Bacteria,p:Chlorobi,c:Chlorobia,o:Chlorobiales,f:OPB56,,
OTU6707,k:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Acidimicrobiales,,,
OTU6715,k:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,,
OTU6717,k:Bacteria,,,,,,
OTU6716,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,,,,
