out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU15,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Aurantimonadaceae,g:Aureimonas,s:Aurantimonas_sp._AU22
OTU2,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU3,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU1,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU6,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU7,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,
OTU5,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
OTU8,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium,
OTU4,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,
OTU9,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU10,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU13,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU11,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU16,k:Bacteria,,,,,,
OTU12,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,
OTU14,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU17,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Steroidobacter,
OTU22,k:Bacteria,,,,,,
OTU20,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU18,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU19,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU21,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_adhaesivum
OTU24,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,
OTU23,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,
OTU27,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,,
OTU30,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU29,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,
OTU28,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU25,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:TRA3-20,,,
OTU26,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
OTU31,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU32,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Bacteroidetes_bacterium_EC2
OTU33,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU35,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,,
OTU36,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Acidibacter,
OTU34,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU37,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU39,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira,s:Nitrospira_japonica
OTU38,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU40,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU43,k:Bacteria,p:Proteobacteria,,,,,
OTU41,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,
OTU42,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira,
OTU44,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_2,,,
OTU46,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU45,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,,,,
OTU47,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,,
OTU48,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU49,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU50,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_komagatae
OTU51,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU52,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU53,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU55,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Acidothermaceae,g:Acidothermus,
OTU57,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU58,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfurellales,f:Desulfurellaceae,,
OTU59,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU56,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU54,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
OTU60,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:Variibacter,s:Rhodoplanes_sp._Z2-YC6860
OTU61,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Haliangiaceae,g:Haliangium,
OTU64,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:Unknown_Family,g:Blastocatella,
OTU63,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU66,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Spirosoma,
OTU62,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
OTU65,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU67,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU69,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU68,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_11,,,
OTU70,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_5,,,
OTU74,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,
OTU73,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU71,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Mycobacteriaceae,g:Mycobacterium,
OTU77,k:Bacteria,,,,,,
OTU72,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
OTU75,k:Bacteria,p:Chloroflexi,c:KD4-96,,,,
OTU76,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:Unknown_Family,g:Blastocatella,
OTU78,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,f:Gaiellaceae,g:Gaiella,
OTU79,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Pelomonas,
OTU80,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:SC-I-84,,,
OTU81,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Geodermatophilaceae,g:Modestobacter,s:Geodermatophilus_taihuensis
OTU82,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Rhodoplanes,s:unidentified
OTU84,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU85,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU83,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,
OTU86,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU87,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU88,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:SC-I-84,,,
OTU92,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU89,k:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Chryseobacterium,s:Chryseobacterium_sp._549
OTU90,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU91,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU93,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU94,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Rhodanobacter,
OTU95,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU98,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Terrimonas,
OTU97,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU96,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,
OTU102,k:Archaea,p:Thaumarchaeota,c:Soil_Crenarchaeotic_Group[SCG],,,,
OTU101,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU99,k:Bacteria,p:Latescibacteria,,,,,
OTU100,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU103,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,,
OTU105,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,f:Gaiellaceae,g:Gaiella,
OTU104,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:KI89A_clade,,,
OTU107,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:SC-I-84,,,
OTU106,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales,f:Geobacteraceae,g:Geobacter,s:Geobacter_bremensis
OTU108,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU109,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:11-24,,
OTU110,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Micrococcaceae,g:Arthrobacter,s:Arthrobacter_sp._110
OTU111,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Hyphomicrobium,
OTU114,k:Archaea,p:Thaumarchaeota,c:Soil_Crenarchaeotic_Group[SCG],,,,
OTU113,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:Unknown_Family,g:Blastocatella,
OTU112,k:Bacteria,p:Acidobacteria,c:Subgroup_22,,,,
OTU119,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU115,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:SC-I-84,,,
OTU116,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,,
OTU120,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:KF-JG30-B3,,
OTU118,k:Bacteria,p:Acidobacteria,c:Subgroup_22,,,,
OTU117,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Candidatus_Solibacter,
OTU122,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillales_Incertae_Sedis,g:Reyranella,
OTU121,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiales_Incertae_Sedis,g:Nordella,
OTU123,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU124,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_5,,,
OTU126,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:PHOS-HE51,,
OTU125,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Phaselicystidaceae,g:Phaselicystis,
OTU129,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiales_Incertae_Sedis,g:Rhizomicrobium,
OTU128,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU130,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU131,k:Bacteria,p:Actinobacteria,c:MB-A2-108,,,,
OTU127,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Candidatus_Solibacter,
OTU133,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Haliangiaceae,g:Haliangium,
OTU132,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,
OTU134,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU135,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
OTU138,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Arenimonas,s:Arenimonas_daechungensis
OTU137,k:Bacteria,p:Tenericutes,c:Mollicutes,o:Entomoplasmatales,f:Spiroplasmataceae,g:Spiroplasma,
OTU136,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,
OTU139,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,
OTU140,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Microvirga,
OTU145,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU141,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU144,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU143,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU142,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Acidibacter,s:bacterium_Ellin5280
OTU148,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Pedomicrobium,
OTU147,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,,,
OTU146,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_17,,,
OTU150,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU149,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Haliangiaceae,g:Haliangium,
OTU151,k:Bacteria,p:Latescibacteria,,,,,
OTU152,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:bacterium_WM06i-B4E
OTU153,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU154,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU155,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:11-24,,
OTU159,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Saprospiraceae,,
OTU157,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,
OTU156,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Pseudonocardiales,f:Pseudonocardiaceae,g:Pseudonocardia,
OTU158,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU162,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU160,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Buchnera,
OTU161,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU165,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU163,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU164,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Alicyclobacillaceae,g:Tumebacillus,
OTU168,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU169,k:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula,
OTU167,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_5,,,
OTU166,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU170,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU171,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,
OTU173,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:0319-6A21,,
OTU175,k:Bacteria,,,,,,
OTU172,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU177,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU174,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Streptomycetales,f:Streptomycetaceae,,
OTU176,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU178,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU179,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Mucilaginibacter,
OTU181,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU184,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU180,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:Quadrisphaera,s:Quadrisphaera_sp._THG-DM1
OTU182,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales,f:Geobacteraceae,g:Geobacter,
OTU183,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,
OTU185,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU189,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU188,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU187,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:SC-I-84,,,
OTU186,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:BIrii41,,
OTU190,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_phyllosphaerae
OTU193,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU191,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU195,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Hyphomonadaceae,g:Woodsholea,
OTU194,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU196,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,,
OTU192,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,g:Curtobacterium,
OTU198,k:Bacteria,p:Acidobacteria,c:Subgroup_22,,,,
OTU197,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,
OTU199,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,
OTU201,k:Bacteria,,,,,,
OTU202,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU203,k:Bacteria,p:Latescibacteria,,,,,
OTU205,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:DA111,,
OTU200,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,
OTU207,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU204,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae,,
OTU206,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_5,,,
OTU208,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU209,k:Bacteria,p:Latescibacteria,,,,,
OTU210,k:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:480-2,,
OTU211,k:Bacteria,p:Proteobacteria,,,,,
OTU212,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Parafilimonas,
OTU213,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:MNG7,,
OTU217,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,g:Zymoseptoria_tritici,
OTU214,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU216,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Rhodanobacter,
OTU215,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:TRA3-20,,,
OTU221,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU219,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU218,k:Bacteria,p:Acidobacteria,c:Subgroup_22,,,,
OTU220,k:Bacteria,p:Verrucomicrobia,c:OPB35_soil_group,,,,
OTU222,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales,f:BVA18,,
OTU224,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,
OTU223,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,
OTU226,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU227,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU225,k:Bacteria,p:Acidobacteria,c:Holophagae,o:Subgroup_7,,,
OTU228,k:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,,
OTU230,k:Bacteria,p:Planctomycetes,c:OM190,,,,
OTU229,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU231,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Streptosporangiales,f:Thermomonosporaceae,g:Actinocorallia,
OTU232,k:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,,
OTU233,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Mucilaginibacter,s:Mucilaginibacter_sp._B4Y-8
OTU239,k:Bacteria,,,,,,
OTU237,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU234,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU235,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_25,,,
OTU236,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Dactylosporangium,s:Dactylosporangium_roseum
