otu,lca_tax_slv
OTU4108,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured;
OTU4149,Unclassified;
OTU4162,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;FCPS473;
OTU4167,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU4181,Unclassified;
OTU4191,Bacteria;
OTU4240,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU4242,Bacteria;
OTU4254,Unclassified;
OTU4302,Unclassified;
OTU4318,Unclassified;
OTU4319,Bacteria;
OTU4352,Unclassified;
OTU4365,Bacteria;Margulisbacteria;
OTU4386,Bacteria;Planctomycetes;Planctomycetacia;uncultured;
OTU4412,Unclassified;
OTU4418,Unclassified;
OTU4434,Unclassified;
OTU4439,Unclassified;
OTU4442,Unclassified;
OTU4472,Bacteria;FCPU426;
OTU4473,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;uncultured;
OTU4489,Unclassified;
OTU4499,Bacteria;
OTU4503,Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;
OTU4590,Bacteria;
OTU4593,Unclassified;
OTU4602,Unclassified;
OTU4606,Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;
OTU4628,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;
OTU4649,Unclassified;
OTU4660,Unclassified;
OTU4662,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU4665,Unclassified;
OTU4690,Unclassified;
OTU4693,Unclassified;
OTU4720,Unclassified;
OTU4729,Unclassified;
OTU4762,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU4770,Unclassified;
OTU4787,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU4791,Unclassified;
OTU4802,Unclassified;
OTU4807,Unclassified;
OTU4819,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU4824,Unclassified;
OTU4832,Unclassified;
OTU4837,Unclassified;
OTU4838,Unclassified;
OTU4868,Unclassified;
OTU4870,Bacteria;Patescibacteria;Microgenomatia;Candidatus Amesbacteria;
OTU4871,Unclassified;
OTU4895,Unclassified;
OTU4908,Unclassified;
OTU4953,Unclassified;
OTU4959,Unclassified;
OTU4978,Unclassified;
OTU4999,Unclassified;
OTU5009,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;
OTU5014,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU5016,Unclassified;
OTU5017,Bacteria;Chloroflexi;JG30-KF-CM66;
OTU5020,Bacteria;Calditrichaeota;Calditrichia;Calditrichales;Calditrichaceae;JdFR-76;
OTU5044,Unclassified;
OTU5062,Unclassified;
OTU5068,Unclassified;
OTU5102,Unclassified;
OTU5131,Unclassified;
OTU5141,Unclassified;
OTU5174,Unclassified;
OTU5183,Unclassified;
OTU5186,Unclassified;
OTU5188,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU5197,Unclassified;
OTU5233,Unclassified;
OTU5247,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU5249,Unclassified;
OTU5257,Unclassified;
OTU5271,Unclassified;
OTU5272,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU5273,Bacteria;
OTU5284,Bacteria;Acidobacteria;Subgroup 6;
OTU5286,Unclassified;
OTU5329,Unclassified;
OTU5334,Bacteria;
OTU5335,Unclassified;
OTU5351,Bacteria;Chloroflexi;Anaerolineae;SBR1031;
OTU5355,Unclassified;
OTU5375,Unclassified;
OTU5419,Unclassified;
OTU5437,Unclassified;
OTU5445,Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;uncultured;
OTU5461,Unclassified;
OTU5468,Unclassified;
OTU5474,Unclassified;
OTU5476,Unclassified;
OTU5495,Unclassified;
OTU5505,Unclassified;
OTU5524,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;
OTU5525,Unclassified;
OTU5526,Unclassified;
OTU5531,Unclassified;
OTU5532,Unclassified;
OTU5541,Unclassified;
OTU5544,Unclassified;
OTU5561,Unclassified;
OTU5564,Unclassified;
OTU5604,Unclassified;
OTU5611,Unclassified;
OTU5614,Unclassified;
OTU5616,Unclassified;
OTU5620,Unclassified;
OTU5627,Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20;
OTU5628,Unclassified;
OTU5638,Unclassified;
OTU5657,Bacteria;Armatimonadetes;uncultured;
OTU5661,Unclassified;
OTU5670,Unclassified;
OTU5681,Unclassified;
OTU5684,Unclassified;
OTU5686,Unclassified;
OTU5715,Unclassified;
OTU5741,Bacteria;Spirochaetes;Leptospirae;Leptospirales;Leptospiraceae;
OTU5743,Bacteria;
OTU5752,Unclassified;
OTU5753,Unclassified;
OTU5757,Bacteria;Planctomycetes;OM190;
OTU5768,Bacteria;Proteobacteria;Gammaproteobacteria;
OTU5775,Unclassified;
OTU5782,Unclassified;
OTU5785,Unclassified;
OTU5789,Unclassified;
OTU5805,Bacteria;Elusimicrobia;Elusimicrobia;Lineage IV;
OTU5809,Unclassified;
OTU5823,Unclassified;
OTU5840,Unclassified;
OTU5849,Unclassified;
OTU5861,Unclassified;
OTU5878,Bacteria;Patescibacteria;Parcubacteria;Candidatus Liptonbacteria;
OTU5892,Unclassified;
OTU5914,Unclassified;
OTU5926,Unclassified;
OTU5938,Unclassified;
OTU5952,Unclassified;
OTU5972,Unclassified;
OTU5978,Unclassified;
OTU5980,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU5983,Unclassified;
OTU5993,Unclassified;
OTU6008,Unclassified;
OTU6020,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;
OTU6039,Unclassified;
OTU6049,Unclassified;
OTU6077,Unclassified;
OTU6082,Unclassified;
OTU6099,Unclassified;
OTU6129,Unclassified;
OTU6146,Unclassified;
OTU6156,Unclassified;
OTU6158,Unclassified;
OTU6166,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU6179,Bacteria;Omnitrophicaeota;
OTU6181,Unclassified;
OTU6185,Unclassified;
OTU6191,Unclassified;
OTU6203,Unclassified;
OTU6222,Bacteria;Actinobacteria;Acidimicrobiia;uncultured;
OTU6243,Unclassified;
OTU6245,Unclassified;
OTU6252,Bacteria;Omnitrophicaeota;
OTU6265,Unclassified;
OTU6269,Unclassified;
OTU6275,Unclassified;
OTU6311,Bacteria;FCPU426;
OTU6313,Unclassified;
OTU6319,Bacteria;Patescibacteria;Parcubacteria;
OTU6342,Bacteria;Armatimonadetes;uncultured;
OTU6344,Unclassified;
OTU6357,Unclassified;
OTU6363,Unclassified;
OTU6373,Unclassified;
OTU6381,Unclassified;
OTU6398,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;JG30-KF-AS9;
OTU6404,Bacteria;Armatimonadetes;uncultured;
OTU6406,Unclassified;
OTU6419,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU6421,Unclassified;
OTU6422,Bacteria;
OTU6436,Unclassified;
OTU6449,Unclassified;
OTU6464,Unclassified;
OTU6467,Unclassified;
OTU6468,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU6483,Unclassified;
OTU6484,Unclassified;
OTU6488,Unclassified;
OTU6493,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU6504,Unclassified;
OTU6507,Bacteria;Patescibacteria;Berkelbacteria;
OTU6512,Unclassified;
OTU6532,Unclassified;
OTU6545,Unclassified;
OTU6554,Unclassified;
OTU6571,Unclassified;
OTU6586,Unclassified;
OTU6589,Bacteria;Actinobacteria;MB-A2-108;
OTU6668,Unclassified;
OTU6669,Unclassified;
OTU6686,Unclassified;
OTU6691,Unclassified;
OTU6692,Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae;Candidatus Alysiosphaera;
OTU6712,Unclassified;
OTU6717,Unclassified;
OTU6731,Unclassified;
OTU6748,Unclassified;
OTU6766,Unclassified;
OTU6792,Unclassified;
OTU6794,Unclassified;
OTU6813,Unclassified;
OTU6817,Unclassified;
OTU6822,Unclassified;
OTU6825,Unclassified;
OTU6834,Unclassified;
OTU6839,Unclassified;
OTU6852,Unclassified;
OTU6863,Unclassified;
OTU6871,Unclassified;
OTU6895,Unclassified;
OTU6897,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU6907,Unclassified;
OTU6928,Unclassified;
OTU6939,Unclassified;
OTU6942,Unclassified;
OTU6953,Unclassified;
OTU6958,Bacteria;Patescibacteria;Microgenomatia;Candidatus Collierbacteria;
OTU6972,Unclassified;
OTU6998,Unclassified;
OTU7007,Unclassified;
OTU7014,Unclassified;
OTU7043,Unclassified;
OTU7044,Bacteria;Patescibacteria;Parcubacteria;Candidatus Yanofskybacteria;
OTU7055,Unclassified;
OTU7061,Bacteria;Patescibacteria;Parcubacteria;
OTU7063,Unclassified;
OTU7071,Unclassified;
OTU7078,Unclassified;
OTU7086,Unclassified;
OTU7088,Unclassified;
OTU7105,Unclassified;
OTU7110,Unclassified;
OTU7111,Unclassified;
OTU7116,Unclassified;
OTU7119,Unclassified;
OTU7136,Unclassified;
OTU7141,Bacteria;
OTU7147,Unclassified;
OTU7160,Unclassified;
OTU7161,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU7163,Bacteria;Patescibacteria;Parcubacteria;
OTU7181,Unclassified;
OTU7194,Unclassified;
OTU7201,Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Fimbriiglobus;
OTU7202,Bacteria;Patescibacteria;Parcubacteria;
OTU7204,Unclassified;
OTU7215,Unclassified;
OTU7218,Unclassified;
OTU7219,Bacteria;
OTU7256,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Candidatus Ovatusbacter;
OTU7273,Unclassified;
OTU7275,Unclassified;
OTU7280,Unclassified;
OTU7285,Unclassified;
OTU7293,Unclassified;
OTU7313,Unclassified;
OTU7335,Unclassified;
OTU7343,Unclassified;
OTU7345,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;
OTU7347,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;
OTU7360,Bacteria;Patescibacteria;Parcubacteria;
OTU7361,Unclassified;
OTU7364,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU7375,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Candidatus Ovatusbacter;
OTU7391,Bacteria;Patescibacteria;Parcubacteria;Candidatus Ryanbacteria;
OTU7418,Unclassified;
OTU7423,Unclassified;
OTU7427,Unclassified;
OTU7446,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU7463,Bacteria;Patescibacteria;Parcubacteria;Candidatus Yanofskybacteria;
OTU7466,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;
OTU7468,Bacteria;Armatimonadetes;uncultured;
OTU7472,Unclassified;
OTU7487,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU7492,Unclassified;
OTU7521,Unclassified;
OTU7539,Unclassified;
OTU7540,Unclassified;
OTU7563,Unclassified;
OTU7577,Unclassified;
OTU7578,Bacteria;Armatimonadetes;
OTU7587,Unclassified;
OTU7615,Unclassified;
OTU7625,Unclassified;
OTU7643,Unclassified;
OTU7657,Unclassified;
OTU7660,Unclassified;
OTU7665,Unclassified;
OTU7674,Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;
OTU7688,Unclassified;
OTU7689,Unclassified;
OTU7694,Unclassified;
OTU7716,Unclassified;
OTU7720,Unclassified;
OTU7736,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU7759,Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;
OTU7760,Unclassified;
OTU7768,Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chloroherpetonaceae;Chloroherpeton;
OTU7786,Unclassified;
OTU7816,Unclassified;
OTU7828,Unclassified;
OTU7847,Unclassified;
OTU7858,Unclassified;
OTU7872,Unclassified;
OTU7898,Unclassified;
OTU7904,Bacteria;FCPU426;
OTU7905,Unclassified;
OTU7906,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU7918,Unclassified;
OTU7921,Unclassified;
OTU7928,Unclassified;
OTU7929,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU7930,Unclassified;
OTU7942,Unclassified;
OTU7943,Unclassified;
OTU7947,Unclassified;
OTU7953,Bacteria;Patescibacteria;Parcubacteria;Candidatus Ryanbacteria;
OTU7963,Unclassified;
OTU7970,Unclassified;
OTU7979,Bacteria;
OTU7986,Unclassified;
OTU8005,Unclassified;
OTU8012,Unclassified;
OTU8052,Unclassified;
OTU8058,Unclassified;
OTU8070,Unclassified;
OTU8082,Unclassified;
OTU8105,Unclassified;
OTU8113,Unclassified;
OTU8119,Unclassified;
OTU8124,Unclassified;
OTU8125,Unclassified;
OTU8126,Bacteria;Chloroflexi;OLB14;
OTU8141,Unclassified;
OTU8147,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU8159,Unclassified;
OTU8162,Unclassified;
OTU8163,Unclassified;
OTU8167,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU8175,Bacteria;Actinobacteria;MB-A2-108;
OTU8184,Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma;
OTU8188,Unclassified;
OTU8207,Unclassified;
OTU8211,Unclassified;
OTU8215,Bacteria;Patescibacteria;Parcubacteria;
OTU8222,Unclassified;
OTU8223,Unclassified;
OTU8233,Unclassified;
OTU8238,Unclassified;
OTU8245,Unclassified;
OTU8247,Unclassified;
OTU8253,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;
OTU8255,Unclassified;
OTU8264,Unclassified;
OTU8268,Unclassified;
OTU8282,Unclassified;
OTU8283,Unclassified;
OTU8293,Unclassified;
OTU8299,Unclassified;
OTU8300,Unclassified;
OTU8316,Bacteria;Patescibacteria;Parcubacteria;
OTU8326,Unclassified;
OTU8342,Unclassified;
OTU8346,Bacteria;Patescibacteria;Parcubacteria;
OTU8349,Unclassified;
OTU8360,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU8362,Bacteria;Patescibacteria;Parcubacteria;
OTU8363,Unclassified;
OTU8364,Unclassified;
OTU8366,Unclassified;
OTU8372,Bacteria;BRC1;
OTU8378,Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;
OTU8382,Unclassified;
OTU8389,Unclassified;
OTU8395,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU8398,Unclassified;
OTU8402,Unclassified;
OTU8404,Unclassified;
OTU8405,Unclassified;
OTU8423,Unclassified;
OTU8427,Unclassified;
OTU8430,Unclassified;
OTU8455,Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured;
OTU8465,Unclassified;
OTU8466,Bacteria;Patescibacteria;Parcubacteria;
OTU8469,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;
OTU8498,Unclassified;
OTU8522,Unclassified;
OTU8532,Unclassified;
OTU8537,Unclassified;
OTU8557,Unclassified;
OTU8560,Unclassified;
OTU8562,Unclassified;
OTU8592,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU8605,Unclassified;
OTU8608,Unclassified;
OTU8624,Unclassified;
OTU8630,Unclassified;
OTU8672,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU8694,Unclassified;
OTU8701,Unclassified;
OTU8703,Unclassified;
OTU8710,Unclassified;
OTU8746,Unclassified;
OTU8756,Unclassified;
OTU8759,Unclassified;
OTU8766,Unclassified;
OTU8770,Unclassified;
OTU8775,Bacteria;Patescibacteria;Parcubacteria;
OTU8781,Unclassified;
OTU8791,Unclassified;
OTU8797,Unclassified;
OTU8802,Unclassified;
OTU8811,Unclassified;
OTU8812,Unclassified;
OTU8815,Unclassified;
OTU8821,Unclassified;
OTU8830,Unclassified;
OTU8843,Unclassified;
OTU8848,Unclassified;
OTU8849,Unclassified;
OTU8850,Unclassified;
OTU8860,Unclassified;
OTU8870,Unclassified;
OTU8871,Unclassified;
OTU8888,Unclassified;
OTU8889,Bacteria;Patescibacteria;Parcubacteria;Candidatus Jorgensenbacteria;
OTU8894,Unclassified;
OTU8926,Unclassified;
OTU8934,Unclassified;
OTU8946,Unclassified;
OTU8949,Unclassified;
OTU8953,Unclassified;
OTU8958,Unclassified;
OTU8970,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVII;Sulfobacillus;
OTU8989,Unclassified;
OTU8999,Unclassified;
OTU9004,Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;
OTU9008,Unclassified;
OTU9012,Unclassified;
OTU9016,Unclassified;
OTU9047,Unclassified;
OTU9054,Unclassified;
OTU9090,Bacteria;Chloroflexi;JG30-KF-CM66;
OTU9091,Unclassified;
OTU9097,Unclassified;
OTU9098,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;bacteriap25;
OTU9121,Unclassified;
OTU9126,Unclassified;
OTU9130,Unclassified;
OTU9154,Unclassified;
OTU9160,Unclassified;
OTU9164,Unclassified;
OTU9165,Unclassified;
OTU9166,Unclassified;
OTU9205,Unclassified;
OTU9215,Bacteria;Patescibacteria;Berkelbacteria;
OTU9217,Unclassified;
OTU9227,Unclassified;
OTU9247,Unclassified;
OTU9250,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU9253,Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;
OTU9255,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU9275,Unclassified;
OTU9286,Bacteria;Margulisbacteria;
OTU9290,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
OTU9292,Unclassified;
OTU9294,Unclassified;
OTU9321,Unclassified;
OTU9326,Bacteria;Armatimonadetes;uncultured;
OTU9331,Unclassified;
OTU9338,Unclassified;
OTU9341,Unclassified;
OTU9347,Unclassified;
OTU9354,Unclassified;
OTU9359,Unclassified;
OTU9367,Unclassified;
OTU9375,Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;
OTU9382,Unclassified;
OTU9383,Unclassified;
OTU9389,Unclassified;
OTU9394,Unclassified;
OTU9409,Unclassified;
OTU9422,Unclassified;
OTU9426,Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;Fimbriiglobus;
OTU9436,Unclassified;
OTU9437,Unclassified;
OTU9439,Unclassified;
OTU9441,Unclassified;
OTU9459,Unclassified;
OTU9465,Bacteria;Patescibacteria;Parcubacteria;
OTU9466,Unclassified;
OTU9482,Bacteria;Planctomycetes;OM190;
OTU9486,Unclassified;
OTU9490,Unclassified;
OTU9491,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;
