X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU86	OTU18	0.295181	-0.214802	0.492344	1	1	7	0	0.324000	0.217681	0.639147	0.446238	0.375073	1	0.582552	0.169914	0.687836	0.130960	1	0.623077	0.616565	0.013516	0.308915	0.008315	9	20
OTU86	OTU21	0.385296	0.194973	0.877768	2	1	6	1	0.046000	0.116681	0.803262	0.614477	0.194292	1	0.543079	0.207753	0.806060	0.052772	1	0.328571	0.655724	0.009041	0.313197	0.005864	9	21
OTU86	OTU10	-0.223185	-0.880099	0.871353	1	2	6	-1	0.151000	-0.278440	0.545415	-0.591405	0.216317	-1	-0.461624	0.297081	-0.750366	0.085697	-1	0.427027	0.585680	0.009614	0.371351	0.006856	9	22
OTU14	OTU84	0.181956	-0.309621	0.514236	1	1	2	0	0.474000	0.037325	0.936679	0.310492	0.549228	1	0.392857	0.383317	0.485714	0.328723	1	0.686957	0.681221	0.017353	0.383735	0.013369	10	11
OTU14	OTU537	0.320548	-0.203440	0.647809	1	1	7	0	0.163000	0.800331	0.030628	0.823438	0.044009	-1	0.563730	0.187496	0.563730	0.187496	0	0.434211	0.208645	0.005590	0.308915	0.009631	10	12
OTU14	OTU90	0.449215	0.219747	0.862676	1	1	7	0	0.018000	0.940401	0.001613	0.940401	0.001613	0	0.846881	0.016197	0.846881	0.016197	0	0.208696	0.036498	0.000919	0.132799	0.003470	10	13
OTU14	OTU4223	-0.189946	-0.499013	0.385423	1	2	6	-1	0.130000	-0.488934	0.265506	-0.572889	0.234678	-1	-0.272772	0.553961	-0.898645	0.014889	-1	0.427027	0.468971	0.010271	0.458902	0.003470	10	14
OTU14	OTU41	0.372824	0.189044	0.776341	2	1	6	1	0.145000	0.386179	0.392175	0.784802	0.064482	1	0.558581	0.192453	0.771429	0.072397	1	0.427027	0.539131	0.006416	0.308915	0.006856	10	15
OTU14	OTU519	-0.049708	-0.430867	0.376176	2	3	3	-1	0.987000	-0.157144	0.736507	-0.221004	0.673891	-1	0.145479	0.755633	0.231908	0.658374	1	0.864629	0.650470	0.020056	0.537854	0.023305	10	16
OTU14	OTU5	-0.396019	-0.530204	-0.257908	2	2	6	0	0.080000	-0.508453	0.243929	-0.570341	0.237251	-1	-0.545545	0.205282	-0.985611	0.000309	-1	0.376000	0.464626	0.010271	0.313197	0.000412	10	17
OTU14	OTU430	0.446977	0.245572	0.788766	1	1	7	0	0.010000	0.872674	0.010362	0.934382	0.006317	-1	0.836502	0.018971	0.836502	0.018971	0	0.200000	0.118427	0.002632	0.132799	0.003627	10	18
OTU14	OTU6	0.433924	0.288554	0.868757	1	1	7	0	0.082000	0.599947	0.154423	0.851747	0.031339	1	0.750000	0.052181	0.942857	0.004805	1	0.376000	0.397510	0.005211	0.224553	0.002146	10	19
OTU14	OTU18	0.316480	-0.241408	0.537737	1	1	7	0	0.092000	0.209030	0.652841	0.209030	0.652841	0	0.704187	0.077350	0.704187	0.077350	0	0.376000	0.618075	0.019517	0.284975	0.006856	10	20
OTU14	OTU21	0.329145	0.194973	0.475659	2	1	6	1	0.153000	-0.099932	0.831197	0.311093	0.548414	1	0.563730	0.187496	0.753702	0.083523	1	0.427027	0.656519	0.017353	0.308915	0.006856	10	21
OTU14	OTU10	-0.327372	-1.025754	0.485929	1	2	6	-1	0.407000	-0.416621	0.352472	-0.514102	0.296786	-1	-0.440534	0.322532	-0.617914	0.191094	-1	0.667742	0.521761	0.011777	0.379021	0.009631	10	22
OTU84	OTU537	0.088856	-0.485929	0.732694	1	1	7	0	0.805000	0.307924	0.501679	0.307924	0.501679	0	0.418251	0.350395	-0.463817	0.354164	-1	0.809901	0.557421	0.016475	0.383735	0.014026	11	12
OTU84	OTU90	0.011575	-0.555218	0.593792	1	1	2	0	0.902000	-0.019077	0.967620	0.147317	0.780623	-1	0.126131	0.787572	0.485714	0.328723	1	0.850943	0.686724	0.022825	0.537854	0.013369	11	13
OTU84	OTU4223	0.072303	-0.669083	0.767475	2	1	3	1	0.234000	-0.097528	0.835218	0.746373	0.088333	1	0.272772	0.553961	0.782691	0.065704	1	0.522222	0.656519	0.007011	0.458902	0.006831	11	14
OTU84	OTU41	0.260165	-0.423295	0.899056	1	1	7	0	0.376000	0.615079	0.141550	0.615079	0.141550	0	0.684712	0.089666	0.684712	0.089666	0	0.652991	0.386172	0.008045	0.288398	0.006964	11	15
OTU84	OTU519	0.292523	-0.430867	0.826539	1	1	7	0	0.201000	0.689242	0.086716	0.689242	0.086716	0	0.800132	0.030701	0.800132	0.030701	0	0.478571	0.330345	0.007011	0.159190	0.004548	11	16
OTU84	OTU5	-0.154451	-0.662110	0.456291	2	1	6	1	0.458000	-0.064081	0.891436	0.786497	0.063509	1	0.127294	0.785646	0.853310	0.030699	1	0.681481	0.664398	0.006416	0.537854	0.004548	11	17
OTU84	OTU430	0.178079	-0.361293	0.711350	1	1	7	0	0.492000	0.031540	0.946482	0.256161	0.624163	-1	0.654654	0.110567	0.654654	0.110567	0	0.700645	0.682150	0.019000	0.288398	0.007581	11	18
OTU84	OTU6	0.310330	-0.330590	0.831032	1	2	4	-1	0.501000	0.489600	0.264756	0.727544	0.101236	-1	0.392857	0.383317	0.714286	0.110787	-1	0.700645	0.468971	0.007180	0.383735	0.007581	11	19
OTU84	OTU18	0.388849	0.221686	0.797685	1	1	7	0	0.198000	0.493901	0.259935	0.729105	0.100137	-1	0.704187	0.077350	0.819689	0.045837	-1	0.477108	0.468971	0.007178	0.284975	0.005660	11	20
OTU84	OTU21	0.392652	0.221686	0.871353	1	2	4	-1	0.090000	0.395794	0.379448	0.764002	0.076971	-1	0.581914	0.170495	0.898645	0.014889	-1	0.376000	0.539131	0.006701	0.308915	0.003470	11	21
OTU84	OTU10	0.299398	-0.715490	1.020959	3	4	3	-1	0.460000	0.314330	0.492343	0.517426	0.293126	-1	-0.036711	0.937719	0.353094	0.492370	-1	0.681481	0.557421	0.011772	0.586075	0.018152	11	22
OTU537	OTU90	0.349932	-0.280425	0.810629	1	1	7	0	0.193000	0.753942	0.050264	0.911877	0.011306	1	0.697277	0.081610	0.697277	0.081610	0	0.470732	0.254082	0.003769	0.285634	0.006856	12	13
OTU537	OTU4223	-0.091747	-0.580104	0.490134	1	2	4	-1	0.978000	-0.162125	0.728371	-0.380931	0.456242	1	0.018519	0.968567	-0.455882	0.363549	1	0.864629	0.649503	0.015598	0.600175	0.014257	12	14
OTU537	OTU41	0.252945	-0.400165	0.791943	4	5	3	-1	0.804000	0.482686	0.272589	0.588950	0.218718	1	0.385337	0.393296	0.385337	0.393296	0	0.809901	0.468971	0.009656	0.390507	0.015200	12	15
OTU537	OTU519	-0.174588	-0.831032	0.645095	4	3	3	1	0.146000	0.091528	0.845268	-0.613251	0.195439	1	0.500000	0.253170	-0.735294	0.095830	1	0.427027	0.656519	0.009041	0.340806	0.007301	12	16
OTU537	OTU5	-0.271446	-0.577572	0.296944	1	2	6	-1	0.811000	-0.155064	0.739909	-0.403316	0.427829	-1	-0.222222	0.631989	-0.403030	0.428188	-1	0.809901	0.650470	0.014855	0.490999	0.016235	12	17
OTU537	OTU430	0.411607	0.189044	0.939266	1	1	7	0	0.016000	0.745800	0.054267	0.874081	0.022785	-1	0.824074	0.022624	0.824074	0.022624	0	0.208696	0.255374	0.004571	0.143971	0.003851	12	18
OTU537	OTU6	0.150342	-0.465156	0.575999	6	5	2	1	0.816000	0.332592	0.466078	0.506428	0.305299	1	0.127294	0.785646	0.463817	0.354164	1	0.809901	0.557421	0.011973	0.537854	0.014026	12	19
OTU537	OTU18	0.113493	-0.425234	0.605837	1	2	6	-1	0.864000	0.139895	0.764825	0.434623	0.389115	-1	0.283069	0.538466	0.750366	0.085697	-1	0.831731	0.652651	0.013653	0.456880	0.006856	12	20
